Epoch no. 1 | instant loss = 0.2263 | avg_loss = 0.2263
Epoch no. 1 | instant loss = 0.2081 | avg_loss = 0.2081
Epoch no. 1 | instant loss = 0.2017 | avg_loss = 0.2017
Epoch no. 1 | instant loss = 0.125 | avg_loss = 0.125
Epoch no. 1 | instant loss = 0.2339 | avg_loss = 0.2339
Epoch no. 1 | instant loss = 0.1512 | avg_loss = 0.1512
Epoch no. 1 | instant loss = 0.0865 | avg_loss = 0.0865
Epoch no. 1 | instant loss = 0.1056 | avg_loss = 0.1056
Epoch no. 1 | instant loss = 0.109 | avg_loss = 0.109
Epoch no. 1 | instant loss = 0.071 | avg_loss = 0.071
Epoch no. 1 | instant loss = 0.0259 | avg_loss = 0.0259
Epoch no. 1 | instant loss = 0.0548 | avg_loss = 0.0548
Epoch no. 1 | instant loss = 0.0193 | avg_loss = 0.0193
Epoch no. 1 | instant loss = 0.0151 | avg_loss = 0.0151
Epoch no. 1 | instant loss = 0.0386 | avg_loss = 0.0386
Epoch no. 1 | instant loss = 0.0789 | avg_loss = 0.0789
Epoch no. 1 | instant loss = 0.1128 | avg_loss = 0.1128
Epoch no. 1 | instant loss = 0.0054 | avg_loss = 0.0054
Epoch no. 1 | instant loss = 0.0184 | avg_loss = 0.0184
Epoch no. 1 | instant loss = 0.0812 | avg_loss = 0.0812
Epoch no. 1 | instant loss = 0.0468 | avg_loss = 0.0468
Epoch no. 1 | instant loss = 0.0529 | avg_loss = 0.0529
Epoch no. 1 | instant loss = 0.0177 | avg_loss = 0.0177
Epoch no. 1 | instant loss = 0.0302 | avg_loss = 0.0302
Epoch no. 1 | instant loss = 0.0921 | avg_loss = 0.0921
Epoch no. 1 | instant loss = 0.0191 | avg_loss = 0.0191
Epoch no. 1 | instant loss = 0.0125 | avg_loss = 0.0125
Epoch no. 1 | instant loss = 0.0527 | avg_loss = 0.0527
Epoch no. 1 | instant loss = 0.0029 | avg_loss = 0.0029
Epoch no. 1 | instant loss = 0.0232 | avg_loss = 0.0232
Epoch no. 1 | instant loss = 0.022 | avg_loss = 0.022
Epoch no. 1 | instant loss = 0.0038 | avg_loss = 0.0038
Epoch no. 1 | instant loss = 0.006 | avg_loss = 0.006
Epoch no. 1 | instant loss = 0.0142 | avg_loss = 0.0142
Epoch no. 1 | instant loss = 0.0015 | avg_loss = 0.0015
Epoch no. 1 | instant loss = 0.0707 | avg_loss = 0.0707
Epoch no. 1 | instant loss = 0.0572 | avg_loss = 0.0572
Epoch no. 1 | instant loss = 0.0047 | avg_loss = 0.0047
Epoch no. 1 | instant loss = 0.0451 | avg_loss = 0.0451
Epoch no. 1 | instant loss = 0.001 | avg_loss = 0.001
Epoch no. 1 | instant loss = 0.0147 | avg_loss = 0.0147
Epoch no. 1 | instant loss = 0.024 | avg_loss = 0.024
Epoch no. 1 | instant loss = 0.0113 | avg_loss = 0.0113
Epoch no. 1 | instant loss = 0.0221 | avg_loss = 0.0221
Epoch no. 1 | instant loss = 0.0005 | avg_loss = 0.0005
Epoch no. 1 | instant loss = 0.0212 | avg_loss = 0.0212
Epoch no. 1 | instant loss = 0.0076 | avg_loss = 0.0076
Epoch no. 1 | instant loss = 0.002 | avg_loss = 0.002
Epoch no. 1 | instant loss = 0.0822 | avg_loss = 0.0822
Epoch no. 1 | instant loss = 0.0166 | avg_loss = 0.0166
Epoch no. 1 | instant loss = 0.0063 | avg_loss = 0.0063
Epoch no. 1 | instant loss = 0.0615 | avg_loss = 0.0615
Epoch no. 1 | instant loss = 0.0355 | avg_loss = 0.0355
Epoch no. 1 | instant loss = 0.0526 | avg_loss = 0.0526
Epoch no. 1 | instant loss = 0.0507 | avg_loss = 0.0507
Epoch no. 1 | instant loss = 0.0226 | avg_loss = 0.0226
