Epoch no. 1 | instant loss = 0.3077 | avg_loss = 0.3077
Epoch no. 1 | instant loss = 0.2345 | avg_loss = 0.2345
Epoch no. 1 | instant loss = 0.1696 | avg_loss = 0.1696
Epoch no. 1 | instant loss = 0.1691 | avg_loss = 0.1691
Epoch no. 1 | instant loss = 0.1827 | avg_loss = 0.1827
Epoch no. 1 | instant loss = 0.1883 | avg_loss = 0.1883
Epoch no. 1 | instant loss = 0.0581 | avg_loss = 0.0581
Epoch no. 1 | instant loss = 0.1746 | avg_loss = 0.1746
Epoch no. 1 | instant loss = 0.0485 | avg_loss = 0.0485
Epoch no. 1 | instant loss = 0.0296 | avg_loss = 0.0296
Epoch no. 1 | instant loss = 0.1381 | avg_loss = 0.1381
Epoch no. 1 | instant loss = 0.1146 | avg_loss = 0.1146
Epoch no. 1 | instant loss = 0.0963 | avg_loss = 0.0963
Epoch no. 1 | instant loss = 0.0844 | avg_loss = 0.0844
Epoch no. 1 | instant loss = 0.0348 | avg_loss = 0.0348
Epoch no. 1 | instant loss = 0.0883 | avg_loss = 0.0883
Epoch no. 1 | instant loss = 0.0205 | avg_loss = 0.0205
Epoch no. 1 | instant loss = 0.1164 | avg_loss = 0.1164
Epoch no. 1 | instant loss = 0.1098 | avg_loss = 0.1098
Epoch no. 1 | instant loss = 0.0084 | avg_loss = 0.0084
Epoch no. 1 | instant loss = 0.014 | avg_loss = 0.014
Epoch no. 1 | instant loss = 0.0116 | avg_loss = 0.0116
Epoch no. 1 | instant loss = 0.1103 | avg_loss = 0.1103
Epoch no. 1 | instant loss = 0.006 | avg_loss = 0.006
Epoch no. 1 | instant loss = 0.0152 | avg_loss = 0.0152
Epoch no. 1 | instant loss = 0.051 | avg_loss = 0.051
Epoch no. 1 | instant loss = 0.0683 | avg_loss = 0.0683
Epoch no. 1 | instant loss = 0.1603 | avg_loss = 0.1603
Epoch no. 1 | instant loss = 0.048 | avg_loss = 0.048
Epoch no. 1 | instant loss = 0.0123 | avg_loss = 0.0123
Epoch no. 1 | instant loss = 0.0545 | avg_loss = 0.0545
Epoch no. 1 | instant loss = 0.0174 | avg_loss = 0.0174
Epoch no. 1 | instant loss = 0.0079 | avg_loss = 0.0079
Epoch no. 1 | instant loss = 0.014 | avg_loss = 0.014
Epoch no. 1 | instant loss = 0.0103 | avg_loss = 0.0103
Epoch no. 1 | instant loss = 0.0499 | avg_loss = 0.0499
Epoch no. 1 | instant loss = 0.037 | avg_loss = 0.037
Epoch no. 1 | instant loss = 0.0625 | avg_loss = 0.0625
Epoch no. 1 | instant loss = 0.0099 | avg_loss = 0.0099
Epoch no. 1 | instant loss = 0.0012 | avg_loss = 0.0012
Epoch no. 1 | instant loss = 0.002 | avg_loss = 0.002
Epoch no. 1 | instant loss = 0.0038 | avg_loss = 0.0038
Epoch no. 1 | instant loss = 0.0173 | avg_loss = 0.0173
