Epoch no. 1 | instant loss = 0.0045 | avg_loss = 0.0045
Epoch no. 1 | instant loss = 0.0021 | avg_loss = 0.0021
Epoch no. 1 | instant loss = 0.0008 | avg_loss = 0.0008
Epoch no. 1 | instant loss = 0.0049 | avg_loss = 0.0049
Epoch no. 1 | instant loss = 0.0014 | avg_loss = 0.0014
Epoch no. 1 | instant loss = 0.0049 | avg_loss = 0.0049
Epoch no. 1 | instant loss = 0.0311 | avg_loss = 0.0311
Epoch no. 1 | instant loss = 0.0018 | avg_loss = 0.0018
Epoch no. 1 | instant loss = 0.0035 | avg_loss = 0.0035
Epoch no. 1 | instant loss = 0.0118 | avg_loss = 0.0118
Epoch no. 1 | instant loss = 0.0026 | avg_loss = 0.0026
Epoch no. 1 | instant loss = 0.0111 | avg_loss = 0.0111
Epoch no. 1 | instant loss = 0.0027 | avg_loss = 0.0027
Epoch no. 1 | instant loss = 0.0022 | avg_loss = 0.0022
Epoch no. 1 | instant loss = 0.0025 | avg_loss = 0.0025
Epoch no. 1 | instant loss = 0.0056 | avg_loss = 0.0056
Epoch no. 1 | instant loss = 0.0139 | avg_loss = 0.0139
Epoch no. 1 | instant loss = 0.0002 | avg_loss = 0.0002
Epoch no. 1 | instant loss = 0.0011 | avg_loss = 0.0011
Epoch no. 1 | instant loss = 0.0062 | avg_loss = 0.0062
Epoch no. 1 | instant loss = 0.0012 | avg_loss = 0.0012
Epoch no. 1 | instant loss = 0.0072 | avg_loss = 0.0072
Epoch no. 1 | instant loss = 0.0223 | avg_loss = 0.0223
Epoch no. 1 | instant loss = 0.0038 | avg_loss = 0.0038
Epoch no. 1 | instant loss = 0.0022 | avg_loss = 0.0022
Epoch no. 1 | instant loss = 0.0043 | avg_loss = 0.0043
Epoch no. 1 | instant loss = 0.011 | avg_loss = 0.011
Epoch no. 1 | instant loss = 0.0058 | avg_loss = 0.0058
Epoch no. 1 | instant loss = 0.007 | avg_loss = 0.007
Epoch no. 1 | instant loss = 0.0008 | avg_loss = 0.0008
Epoch no. 1 | instant loss = 0.0012 | avg_loss = 0.0012
